ANO_ATEND,ANO_CMPT,CID,CNES,MES_ATEND,MES_CMPT,ORIGEM,PERIODO_ATEND,PERIODO_CMPT,QTD,SIGITAP,TIPO,UF
2017,2017,I200,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,5,306020106,PROC,SP
2017,2017,0,2082861,1,1,PA_APAC,2017/01-A,2017/01-C,4,306020106,PROC,SP
2017,2017,D649,2078287,1,1,PA_APAC,2017/01-A,2017/01-C,1,306020106,PROC,SP
2017,2017,K922,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,14,306020084,PROC,SP
2017,2017,0,2070812,1,1,PA_APAC,2017/01-A,2017/01-C,23,306020106,PROC,SP
2017,2017,K769,2079798,1,1,PA_APAC,2017/01-A,2017/01-C,5,306020106,PROC,SP
2017,2017,K590,2069776,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,Z039,2084171,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,0,2077590,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,R58,2080028,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020106,PROC,SP
2017,2017,0,2080346,2,2,PA_APAC,2017/02-A,2017/02-C,19,306020106,PROC,SP
2017,2017,R31,2082527,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,D630,2080125,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,D694,2078015,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020106,PROC,SP
2017,2017,0,2025752,1,2,PA_APAC,2017/01-A,2017/02-C,3,306020106,PROC,SP
2017,2017,0,2090236,2,2,PA_APAC,2017/02-A,2017/02-C,5,306020106,PROC,SP
2017,2017,A419,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,7,306020084,PROC,SP
2017,2017,C249,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,0,9628,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,T68,2702193,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,K922,2023709,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,0,2082349,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,T149,2069776,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,Y69,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,D134,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,Z980,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,8,306020084,PROC,SP
2017,2017,0,2025361,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,R688,2096412,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,C250,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,0,2096463,2,2,PA_APAC,2017/02-A,2017/02-C,9,306020106,PROC,SP
2017,2017,0,2070812,2,2,PA_APAC,2017/02-A,2017/02-C,7,306020084,PROC,SP
2017,2017,C61,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,N189,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,0,2078775,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,K729,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,10,306020106,PROC,SP
2017,2017,N180,3126838,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,T07,2748223,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,I200,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,8,306020084,PROC,SP
2017,2017,0,2705982,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,T07,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,7,306020084,PROC,SP
2017,2017,R092,2716097,2,2,PA_APAC,2017/02-A,2017/02-C,1,306020106,PROC,SP
2017,2017,Z513,8923,2,2,PA_APAC,2017/02-A,2017/02-C,5,306020106,PROC,SP
2017,2017,I200,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,P550,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,I713,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,0,2765934,2,2,PA_APAC,2017/02-A,2017/02-C,2,306020106,PROC,SP
2017,2017,E831,2078015,1,2,PA_APAC,2017/01-A,2017/02-C,4,306020106,PROC,SP
2017,2017,Z944,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,47,306020106,PROC,SP
2017,2017,0,2079135,2,2,PA_APAC,2017/02-A,2017/02-C,12,306020106,PROC,SP
2017,2017,H348,2078015,1,2,PA_APAC,2017/01-A,2017/02-C,1,306020106,PROC,SP
2017,2017,S069,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,0,2085852,2,2,PA_APAC,2017/02-A,2017/02-C,10,306020106,PROC,SP
2017,2017,Z980,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,6,306020106,PROC,SP
2017,2017,R571,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,10,306020106,PROC,SP
2017,2017,T455,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,K250,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,7,306020106,PROC,SP
2017,2017,I694,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,K922,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,36,306020106,PROC,SP
2017,2017,K703,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
2017,2017,I712,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,4,306020106,PROC,SP
2017,2017,J949,2079798,2,2,PA_APAC,2017/02-A,2017/02-C,3,306020106,PROC,SP
